Index,N.Processes,N.Threads,N.Characters,Read File,Parse Header,Parse Huffman Tree,Parse Block Lengths,Calculate Block Range,Decode Single Text,Merge Decoded Texts,
83,6,2,0,0.004060745239,8.606910706e-05,6.175041199e-05,0.0001320838928,1.454353333e-05,0.007331132889,0.09919166565,
84,6,3,0,0.00331735611,8.702278137e-05,6.055831909e-05,0.0001316070557,1.502037048e-05,0.007401943207,0.09767079353,
85,6,4,0,0.00313949585,9.13143158e-05,6.937980652e-05,0.0001311302185,1.47819519e-05,0.00735449791,0.10176301,
86,6,5,0,0.003084421158,6.318092346e-05,2.431869507e-05,0.0001170635223,6.198883057e-06,0.007038354874,0.09287691116,
87,6,6,0,0.002091646194,8.630752563e-05,6.031990051e-05,0.0001320838928,1.525878906e-05,0.00714635849,0.06234192848,
88,6,7,0,0.003258466721,0.0001049041748,6.198883057e-05,0.0001525878906,1.573562622e-05,0.007266283035,0.1399080753,
89,6,8,0,0.002592086792,9.393692017e-05,7.295608521e-05,0.0001311302185,1.573562622e-05,0.007452964783,0.06118035316,
90,6,9,0,0.003692865372,0.0001032352448,6.532669067e-05,0.0001521110535,1.549720764e-05,0.007464885712,0.006990671158,
91,6,10,0,0.004510402679,9.58442688e-05,6.556510925e-05,0.0001444816589,1.59740448e-05,0.007643222809,0.1156785488,
92,6,11,0,0.002482414246,0.0001044273376,6.127357483e-05,0.000155210495,1.692771912e-05,0.007334947586,0.0075340271,
